date,declination,pathloss,sun_offset,noise
2025-01-05,-5.5,0.44,64,25
2025-01-12,28.4,0.58,155,40
2025-01-19,0.9,1.75,121,25
2025-01-26,-28.3,1.29,44,80
2025-02-02,-0.3,0.22,46,25
2025-02-09,28.4,0.84,137,35
2025-02-16,-3.0,1.81,141,30
2025-02-23,-28.7,1.27,64,50
2025-03-02,4.3,-0.04,27,25
2025-03-09,27.3,1.01,119,30
2025-03-16,-7.0,1.89,161,30
2025-03-23,-28.4,1.30,84,40
2025-03-30,8.3,-0.22,8,25
2025-04-06,25.2,1.06,101,25
2025-04-13,-11.0,1.95,178,25
2025-04-20,-27.2,1.33,103,40
2025-04-27,12.0,-0.25,12,25
2025-05-04,22.4,1.03,83,20
2025-05-11,-14.8,1.96,161,35
2025-05-18,-25.0,1.29,120,35
2025-05-25,15.7,-0.14,30,30
2025-06-01,19.3,0.98,65,15
2025-06-08,-18.4,1.93,143,40
2025-06-15,-22.1,1.16,137,35
2025-06-22,19.5,0.06,48,35
2025-06-29,16.0,0.98,46,15
2025-07-06,-21.5,1.87,125,50
2025-07-13,-18.6,0.95,154,30
2025-07-20,23.1,0.25,64,50
2025-07-27,12.4,1.08,27,20
2025-08-03,-24.1,1.84,106,140
2025-08-10,-14.8,0.69,171,20
2025-08-17,26.0,0.37,80,60
2025-08-24,8.7,1.25,9,20
2025-08-31,-26.1,1.84,87,240
2025-09-07,-11.1,0.46,170,25
2025-09-14,27.9,0.38,96,50
2025-09-21,4.5,1.45,9,20
2025-09-28,-27.5,1.87,68,160
2025-10-05,-7.4,0.34,151,25
2025-10-12,28.5,0.27,113,45
2025-10-19,0.1,1.63,28,25
2025-10-26,-28.2,1.90,49,80
2025-11-02,-3.5,0.36,131,25
2025-11-09,28.1,0.12,131,35
2025-11-16,-4.4,1.73,47,30
2025-11-23,-28.3,1.86,30,60
2025-11-30,0.8,0.48,111,25
2025-12-07,27.1,0.01,151,30
2025-12-14,-8.8,1.75,66,30
2025-12-21,-27.5,1.76,11,45
2025-12-28,5.6,0.59,93,25
